,Thickness_0,Thickness_1,U-Factor,DistrictHeating:Facility,Predicted
229,0.743752552492749,0.9346595376878447,0.5827010855719238,40722867010.52716,-0.6357179458041305
337,0.6150708417157115,0.48244600578733426,4.613869567064056,41724913756.20548,-0.560088140914979
327,0.8473720133991386,0.2202713443238618,3.833202610477419,42186034353.94489,-0.5801377149155291
416,0.9048098855052471,0.54690115065124,1.973947039671129,40747343296.955215,-0.651061933178078
306,0.2428198519766989,0.2576639707621955,2.382602242752262,46393837310.07668,-0.5608099652752022
131,0.9519701102057337,0.5476121326569781,4.411193997823064,40650771491.68739,-0.6359734304047167
5,0.10208076328039896,0.8767857771455373,0.9924885033184616,52499943369.02408,-0.5335133159651673
431,0.41058901087751243,0.6488852945924325,2.459832233421355,42756428434.69731,-0.6181224438967101
434,0.8952481974951862,0.31029793451133075,2.539775578618447,41464383547.47757,-0.5937504525397814
134,0.3559186674797445,0.0121844035472367,3.7509130510686637,58929785169.46581,-0.4662619868326815
276,0.2818585679974094,0.7822733466143216,1.754161427471626,44331622544.41488,-0.5588755797694946
264,0.6473808658175697,0.3812116088098009,3.1030142547500774,41867233643.21233,-0.6025949761268774
34,0.04600901304868653,0.6376063209156734,2.346617000810856,64322054378.522606,-0.5456683020770476
274,0.6995064859841439,0.9874729101742848,1.576893063659203,40832437238.0002,-0.6333051146626067
489,0.4544607685647311,0.05618070083085315,0.9116544744794144,48597700108.07535,-0.5778024779312368
11,0.330583076985378,0.5033126605752322,3.9701348891616135,43891523397.606865,-0.5336818775052172
378,0.07988302384598969,0.44632823119512954,3.444319443918734,56065094600.12293,-0.49158822940175917
467,0.5754817456590609,0.3774430773012978,1.191080133417474,42192578874.02107,-0.5962424731209768
425,0.2350793944076903,0.0946890391370146,0.24695409744626873,49230248692.44296,-0.5215113777047236
241,0.21317680205865255,0.42175657288173374,3.7695902112316904,46522942565.273056,-0.4995601001897828
93,0.9560634371056426,0.8667034533577226,2.901444822012258,40269627167.055954,-0.6973635313749967
310,0.9215308727196,0.21229526376822827,3.657624151287626,42117756448.7345,-0.5788231246472664
189,0.7258586338476994,0.8547682149180927,2.935462282784032,40832542056.34237,-0.666007809968864
277,0.1845596364806193,0.6253248706414598,3.4945691189865706,47179059873.38286,-0.5440924849516791
138,0.8317927612155942,0.06210165610265672,0.2685908984762646,46620266405.86742,-0.6128403583920496
332,0.9327823463598816,0.23736653039450897,4.740310349951613,41862794292.10376,-0.5513272392306932
313,0.4673846403769358,0.24556094096794168,3.285901075145227,43506129691.25929,-0.559843805216318
59,0.48410182999815865,0.1884550299185355,1.7626655533294937,43948105018.34313,-0.5642452439524013
212,0.22635536865217099,0.1465995684121043,2.2370042043863974,48059045571.182,-0.5555807325058215
171,0.05974583705274822,0.42085354097174804,1.6042657120148707,60326836911.347824,-0.5360271951112948
375,0.5504169784330297,0.7228998146260869,0.6887773176244776,41686040396.22818,-0.6137602517920766
85,0.7891626222545605,0.1437297229707325,4.020298653881455,43396248220.93059,-0.560831061498507
266,0.12045060098678854,0.2930150797127628,2.1323233391802594,51728459566.06692,-0.5495861249545688
36,0.9412322523716105,0.2853913023645476,1.3376742710105938,41507252957.02396,-0.6400369058550993
272,0.2718088441805506,0.44146429637081996,0.6126673074293525,45006051891.701126,-0.5434802093110509
287,0.27291558873505867,0.2707668620232565,2.4095580897866244,45649637507.32773,-0.5676910392565051
185,0.7221885496799842,0.21078514923254427,2.3253366667733952,42614978650.938705,-0.5678193082222167
338,0.315854632096193,0.4695488119521036,3.31763254079014,44175383082.15004,-0.5584913609278735
33,0.6694908989011007,0.500079589951079,0.15018162956723258,41471513113.63881,-0.5883759874357575
343,0.7400756851598812,0.7734596393520081,1.8147021070725455,40874470266.66083,-0.6268264617070625
363,0.391202751381124,0.40350570663198493,2.9506807999004305,43405158396.47594,-0.5809521067080428
9,0.16396419232194637,0.36276875965468364,4.564969772288744,48624751176.83052,-0.43392172708047133
204,0.908490988196545,0.7704661272888372,3.1897753092004097,40463141292.800804,-0.669673940068265
472,0.5700885767308685,0.9158501165127477,1.2079511994943186,41408382227.41067,-0.616820628058334
48,0.9772987060603421,0.40141536876778156,0.9236058512782493,40940691131.42398,-0.644315627206901
280,0.9263523743036026,0.879562126563036,4.960754768198732,40319301428.75168,-0.6419562966244737
15,0.5450097765311998,0.12934482943909956,2.1045433773293167,44612064456.28183,-0.5606432627627878
184,0.6750394754326267,0.4404172042496371,1.9901626415769784,41588080545.618935,-0.6023526058555358
24,0.24828380807935937,0.9216362093059425,1.381877552854237,44925083572.294044,-0.5487761537992456
82,0.3252674094187131,0.4923970986559559,1.7360728237843375,43987995427.103325,-0.5524061555434627
289,0.2751968448790051,0.9140966284490164,1.5421262865409209,44344284181.10115,-0.5556465719104284
182,0.5608849639406098,0.28140122701559644,1.4639269560160522,42700648129.149536,-0.5806683439834993
13,0.5516424789428046,0.5945268416890687,1.1307447059967783,41831143364.84639,-0.596638714864826
114,0.4219626516853856,0.16726282622812896,4.370153128141339,44709325323.61949,-0.47428140178021067
475,0.7080568893813198,0.9379637723021508,1.351874403360052,40833290070.001884,-0.6332801604074547
440,0.5240787295509572,0.955970520032309,0.4365357592446374,41633976952.59596,-0.6095376770198828
308,0.5968231500949213,0.23594009851388809,4.822219595261378,42850591750.29752,-0.5087335187157088
368,0.23543244960923926,0.7591228356229272,2.0899729475317526,45386174397.92464,-0.5859582085747252
55,0.84542151553086,0.1336425017361286,1.6763008479592507,43478808563.612236,-0.6077332123188134
132,0.5546582952216929,0.8290675259843101,4.702056711039732,41569978834.11326,-0.5864283793645186
237,0.2085771566177677,0.30168685287301944,0.6353326728907384,47099205060.12833,-0.5276190144614326
470,0.09495561395885257,0.01817521191176506,2.5177807621939174,65317297994.45381,-0.4864111797218037
75,0.2615226363662229,0.9118681971449474,4.353272986257785,44629234795.04147,-0.5555099230186007
316,0.1732077959221893,0.23977153171199286,4.038545869171432,48812692160.869,-0.44182680181618034
370,0.10693965982124105,0.32234734268109067,0.7936469360769194,52861273968.77902,-0.5210205105858575
151,0.3951383145109075,0.03907880608536452,2.5837355044909485,51085579933.21215,-0.5560954802396916
72,0.9843801257191264,0.2960523159116868,3.2664410861294186,41364867726.70711,-0.5992044313758155
172,0.14097921839762295,0.6288707289501209,4.962746785639126,49407329234.208206,-0.4597772485444894
164,0.7006150773057782,0.8362798005624852,2.4768799120955958,40948745211.063995,-0.6548872392155665
188,0.3155188501528649,0.726610878582425,0.6591102103803009,43808894901.555145,-0.5738264633353531
170,0.5905751070661036,0.9005841320165197,0.36786107566803283,41318760270.41164,-0.6294189766998542
26,0.2293700898011526,0.41034901322104844,3.11892755217331,46081193296.167915,-0.5362296408571862
101,0.5424857904577541,0.08063530008038802,2.5437292926150326,46368294494.05863,-0.5779135107697622
392,0.5981219674514453,0.8250954138523969,4.667316945586924,41358833465.84689,-0.5937049852987508
317,0.23142789792815813,0.6023378707892832,0.8752419897058699,45660399578.16403,-0.5527091413025937
107,0.0389113313838715,0.4130493962117114,1.9984973478206014,67603929167.946335,-0.5430699324445446
49,0.8284718870702239,0.3978162366046063,1.2175657364434005,41254706574.98844,-0.6370993825893609
160,0.4353940658867476,0.4949676529758849,1.171499879992779,42774150015.1194,-0.5693382773714774
369,0.47459226803301763,0.17533824115810498,4.275943651546814,44186401702.92852,-0.4941729786434144
223,0.4125489503888036,0.8000838486863702,0.2535591890152363,42589048246.47887,-0.5955960327885755
381,0.7333667852709995,0.18705853164525624,2.6577933274065733,42852748288.06746,-0.5827582391384054
367,0.4596651025488957,0.8456897909900957,1.1548733687976929,42159912482.60745,-0.5943961819246693
362,0.8703396634286111,0.838163176240115,2.196451281320125,40490172012.96256,-0.6655080781678961
249,0.3973460048392286,0.8589158625759834,0.5976117834316721,42667428355.55378,-0.590947638835749
328,0.08194520222197096,0.7520192237325638,3.0343488500338616,55340416692.43881,-0.5469966909418358
448,0.08541528891268939,0.951718750667754,4.913165258279967,54639006395.112656,-0.4887816885757216
66,0.45027555586100265,0.12021709219084643,3.4213005287919853,45441292488.81664,-0.5305696985261622
463,0.6279697309803315,0.560272051075833,1.9379372609804488,41525568149.620255,-0.6045589125042855
320,0.5671187280329728,0.9266511376386549,3.6381340668672473,41416395967.885544,-0.640269408404562
125,0.5197649952044944,0.11000290896622818,3.207988427403572,45286323375.26787,-0.5630678494475465
142,0.7120163347323222,0.6341228642848897,3.367793308088661,41110959380.37817,-0.631023782460317
234,0.3081720729827749,0.33973442007669447,0.8110957706172501,44682318963.58538,-0.5521761606868348
42,0.8362646734729314,0.5352794914752468,1.6565545713994392,40922604754.644554,-0.6443376076271243
190,0.7879952582551709,0.5663362772340251,3.569059027574401,40982693296.8743,-0.6273471531424706
41,0.7655156714855937,0.3358879660436177,4.907617198261582,41650445282.66976,-0.5539171400622213
252,0.4084241419383431,0.4160879312572609,2.182281495807126,43200171334.39229,-0.5959996294856964
102,0.04189588434888034,0.9032623117697101,1.0935907545574763,65742723187.71892,-0.522245255437013
261,0.8825630555904482,0.04514244983549043,2.0673055524127095,48225553127.08005,-0.5794564104472651
351,0.4881966350261855,0.7124367928889429,2.293832123358249,42071325492.95352,-0.6204792005995766
461,0.1430410714008542,0.9670819786635252,0.14850435298547404,48984208902.11759,-0.5500118879420954
